Marca,Codigo_Barras,Acción_Terapéutica,Principio_Activo,Nombre,id
SAVAL,7800060414167,VASODILATADOR CEREBRAL,MODAFINILO,ALERTEX 200 MG CAJA X 30 COMPRIMIDOS,7800060414167
DISMEDIN,7800061031288,ANTIBIOTICO AMINOGLUCOSIDO,AMIKACINA,AMIKACINA 500 MG/2 ML CAJA X 10 INYECTABLE,7800061031288
MINT LAB,7800063001661,ANTIHIPERURICÉMICO Y ANTIGOTOSO,ALOPURINOL,ALOPURINOL 300 MG CAJA X 20 COMPRIMIDOS,7800063001661
MINT LAB,7800063003481,TRATAMIENTO DE INFECCIONES MUCOCUTÁNEAS,ACICLOVIR,ACICLOVIR 5 % CREMA X 5 GRAMOS,7800063003481
MINT LAB,7800063116372,ACICLOVIR MINTLAB,ACICLOVIR,ACICLOVIR 200 MG CAJA X 24 COMPRIMIDOS,7800063116372
EFARMA,7800063160016,TÓPICO INFECCIONES VIRALES,ACICLOVIR,ACICLOVIR CREMA 5 % TBO X 5 GR,7800063160016
MINT LAB,7800063160047,ANTIINFLAMATORIO,BETAMETASONA,BETAMETASONA 0.05 % CREMA 15 GR,7800063160047
MINT LAB,7800063160061,CORTICOSTEROIDES,CLOBETASOL 0.05 CREMA 25 G ML,CLOBETASOL PROPIONATO 0.05 % TUBO X 25 G ML,7800063160061
TECNOFARMA,7800070000039,ANTIINFLAMATORIO,DICLOFENACO GEL,LERTUS GEL TUBO X 60 GR,7800070000039
TECNOFARMA,7800070000046,ANALGESICO ANTIESPASMODICO,FLAVOXATO CLORHIDRATO,BLADURIL 200 MG CAJA X 20 COMPRIMIDOS,7800070000046
TECNOFARMA,7800070000138,VASODILATADOR,FLUNARIZINA 10 MG,FLUXUS 10 MG FLUNARIZINA CAJA X 60 COMPRIMIDOS,7800070000138
TECNOFARMA,7800070000237,ENERGIZANTE,MAGNESIO CON VITAMINA C,MAGNATIL CAJA X 14 COMPRIMIDOS EFERVECENTES,7800070000237
MEGALABS,7803510003911,LAXANTE,POLIETILENGLICOL,POLILAX POLVO FRASCO X 255 GRAMOS,7803510003911
MEGALABS GARDEN HOUSE,7803510773234,LAXANTE REGULADOR,EXTRACTO HOJAS DE SEN,CIRUELAX TE CAJA X 30 SOBRES,7803510773234
QUIMIZA,7804651932269,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL EN GEL,ALCOHOL EN GEL XL-3 X 120 ML,7804651932269
L & C FARMA,781718681391,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL GEL,ALCOHOL GEL REX FCO X 450 ML,781718681391
IMFAR,78400653005402,ANTIINFLAMATORIO-ANALGESICO-ANTIPIRETICO,IBUPROFENO,BANES 600 MG CAJA X 10 COMPRIMIDOS,78400653005402
MINOIL,7840127000087,LAXANTE,TE DE GUARANI,PLAN 30 DIAS CAJA X 60 SOBRES,7840127000087
L & S FARMA,7840199087030,ANTIFLAMATORIO,MELOXICAM Y PRODINOL,ALGIOFLEX RELAX CAJA X 20 COMPRIMIDOS RECUBIERTOS,7840199087030
MEGALABS,7840199552521,ANTIINFLAMATORIO,MELOXICAM 15 MG PIRIDINOL 4 MG,NEFIRAN FLEX CAJA X 20 COMPRIMIDOS,7840199552521
MEGALABS,7840199556918,VASODILATADOR ARTERIAL CEREBRAL Y PERIFERICO,CINARIZINA 75 MG,CINADIL 75 MG CAJA X 20 COMPRIMIDOS,7840199556918
QUIMFA,7840213027400,"ALIVIO DEL DOLOR, REDUCCIÓN DE LA FIEBRE Y ACCIÓN ANTIINFLAMATORIA",ÁCIDO ACETILSALICÍLICO,AAS 125 MG CAJA X 30 COMPRIMIDOS,7840213027400
J A GRAMON,7840213034569,ANALGESICO DE ACCION CENTRAL,TRAMADOL CLORHIDRATO 50 MG,CESALGIN TRAMADOL CLORHIDRATO 50 MG CAJA X 12 CAPSULAS,7840213034569
QUIMFA,7840213253113,ANTIANÉMICO,ÁCIDO FÓLICO (VITAMINA B9),ACIFOL 10 MG CAJA X 30 COMPRIMIDOS,7840213253113
QUIMFA,7840213253120,ANTIANÉMICO,ÁCIDO FÓLICO (VITAMINA B9),ACIFOL 5 MG CAJA X 30 COMPRIMIDOS,7840213253120
J A GRAMON PORTUGAL,7840213263174,HIPOGLICEMIANTE,GLIMEPIRIDA 4 MG METFORMINA 1000 MG,LIPANTYL MET CAJA X 30 COMPRIMIDOS RECUBIERTOS,7840213263174
J A GRAMON,7840315122430,PREVENCIÓN Y TRATAMIENTO DE LA DERMATITIS DE PAÑAL,"HÍGADO DE BACALAO, ACEITE DE ZINC, OXIDO",ADERMICINA BEBE TUBO X 30 GR.,7840315122430
GRAMON,7840315225292,Tranquilizante ansiolítico,"PASIFLORA, EXTRACTO DE VALERIANA OFFICINALIS, EXTRACTO SECO",0 ES 3 CAJA X 20 COMPRIMIDOS,7840315225292
IMFAR,7840653000650,Broncodilatador selectivo con efecto tocolítico,SALBUTAMOL,ACTERIL JARABE FCO X 120 ML,7840653000650
IMFAR,7840653001350,ALIVIO DE SÍNTOMAS RESPIRATORIOS,"PARACETAMOL, CLORFENIRAMINA, FENILEFRINA",ACELIN JARABE FCO X 120 ML,7840653001350
IMFAR,7840653001367,UTILIZADO PARA ALIVIAR SÍNTOMAS,"PARACETAMOL, CLORFENIRAMINA, FENILEFRINA",ACELIN CAJA X 20 COMPRIMIDOS,7840653001367
IMFAR,7840653002616,ANTIINFLAMATORIO-ANALGESICO-ANTIPIRETICO,IBUPROFENO,BANES 100 MG IBUPROFENO SUSPENCION FCO X 100 ML,7840653002616
IMFAR,7840653003453,BRONCODILATADOR,SALBUTAMOL,ACTERIL GOTAS X 15 ML,7840653003453
IMFAR,7840653004443,ANTIINFLAMATORIO-ANALGESICO-ANTIPIRETICO,IBUPROFENO,BANES 200 MG IBUPROFENO SUSPENSION FCO X 120 ML,7840653004443
IMFAR,7840653004566,ANTIBIOTICO,AZITROMICINA 200 MG,AZIMUT 200 MG SUSPENSION FCO X 50 ML,7840653004566
IMFAR,7840653004719,"ANTIBIOTICO FLUOROQUINOLONICO, BACTERICIDA DE AMPLIO ESPECTRO",CIPROFLOXACINA,ACID 500 MG CAJA X 14 COMPRIMIDOS,7840653004719
IMFAR,7840653004924,ANTIINFLAMTORIO-ANALGESICO-ANTIPIRETICO,IBUPROFENO,BANES GOTAS FCO X 30 ML,7840653004924
IMFAR,7840653005952,ANTIBIOTICO TOPICO,RIFAMICINA 1 %,RIFAMICINA 1% SPRAY X 30 ML,7840653005952
IMFAR,7840653006225,OFTALMOL ALER COLIRIO,OFTALMOL ALER COLIRIO,OFTALMOL ALER COLIRIO X 5 ML,7840653006225
IMFAR,7840653006249,ANTIPIRETICO,PARACETAMOL 160 MG,Z MOL PARACETAMOL 160 MG JARABE FCO X 60 ML,7840653006249
IMFAR,7840653007178,ANTIBIOTICO,CEFIXIMA 200 MG,CIMAFIX FORTE 200 MG SUSPENCION FCO X 100 ML.,7840653007178
MEGALABS,7840775402264,ANALGESICO ANTINEURITICO,PIROXICAM 20 MG PIRIDOXINA 250 MG HIDROXICOBALAMINA 10 MG,FLOGIATRIN B12 NF CAJA X 1 AMPOLLA,7840775402264
QUIMIZA,7841106003099,BACTERICIDA,SULFAMETOXAZOL- TRIMETROPIM,BACTRIM CAJA X 20 COMPRIMIDOS,7841106003099
QUIMIZA,7841106003105,BACTERICIDA,SULFAMETOXAZOL Y TRIMETOPRIM,BACTRIM FORTE 800/160 CAJA X 10 COMPRIMIDOS,7841106003105
QUIMIZA,7841106003136,BACTERICIDA,SULFAMETOXAZOL Y TRIMETOPRIM,BACTRIM SUSPENCION FCO X 100 ML,7841106003136
TECNOFARMA,7841141000053,DISMINUCION DE COLESTEROL,ATORVASTATINA EZETIMIBA,COLMIBE 20/10 MG CJA X 30 COMPRIMIDOS,7841141000053
TECNOFARMA,7841141002149,ANTIMICOTICO ANTIBACTERIANO,GENTAMICINA DEXAMETAZONA BIFONAZOL,ULTRACILINA CREMA DERMICA TUBO X 20 GR,7841141002149
TECNOFARMA,7841141002200,ANTIBIOTICO ANALGESICO URINARIO,NORFLOXACINA FENILAZOPIRIDINA,URIDON F CAJA X 16 COMPRIMIDOS,7841141002200
TECNOFARMA,7841141002552,ANTIEMETICO,DOMPERIDONA,DOMPER GOTAS FCO X 30 ML,7841141002552
TECNOFARMA,7841141002576,ANTIEMETICO ANTIACIDO,DOMPERIDONA SIMETICONA,DOMPER AG GOTAS FCO X 30 ML,7841141002576
TECNOFARMA,7841141002811,ANTAGONISTA CA,NIMODIPINO,IRRIGOR 30 MG CAJA X 100 COMPRIMIDOS,7841141002811
TECNOFARMA,7841141003139,ANALGESICO,MELOXICAM 15 MG,SUPRACAM 15 MG CAJA X 3 AMPOLLAS,7841141003139
TECNOFARMA,7841141003245,ANTIINFLAMATORIO ANALGESICO,DICLOFENACO POTASICO 75 MG,FLOGENE 75 MG CAJA X 5 AMPOLLAS,7841141003245
TECNOFARMA,7841141003269,ANALGESICO RELAJANTE,DICLOFENACO POTASICO CARISOPRODOL,FLOGENE RELAX CAJA X 20 COMPRIMIDOS,7841141003269
TECNOFARMA,7841141003405,ANTIBIOTICO ANTIMICOTICO,GENTAMICINA DEXAMETASONA BIFONAZOL,ULTRACILINA CREMA VAGINAL TUBO X 45 GR,7841141003405
TECNOFARMA,7841141003443,ANTIHIPERTENSIVO,OLMESARTAN AMLODIPINO,ILTUXAM 20/5 CAJA X 28 COMPRIMIDOS,7841141003443
TECNOFARMA,7841141003962,ANALGESICO DESINFLAMANTE,TRAMADOL DICLOFENACO,DICASEN CAJA X 10 COMPRIMIDOS,7841141003962
LATIN MED,7861011200710,LIMPIEZA DE LA PIEL Y EXFOLIACIÓN SUAVE,ÁCIDO LÁCTICO,AC LAC JABON X 90 GR,7861011200710
LATIN MED,7861011200727,LIMPIEZA Y CUIDADO DE LA ZONA ÍNTIMA,PUEDE CONTENER ÁCIDO LÁCTICO,AC LAC LOCION INTIMO FCO X 200 ML,7861011200727
LAMOSAN,7861087803334,ANTIACIDO ANTIFLATULENTO,MAGALDRATO SIMETICONA 800 60 MG 10 ML,GASTROGEL SUSPENSION 240 ML,7861087803334
LAMOSAN,7861087803426,SUPLEMENTO VITAMINICO,VITAMINAS,APETITOL ZINC JALEA X 100 GR,7861087803426
MEGALABS,7861148020250,ANTIPARASITARIO,NITAZOXANIDA 500 MG,COLUFASE 500 MG CAJA X 6 TABLETAS RECUBIERTAS,7861148020250
MEGALABS,7861148020281,ANTIPARASITARIO,NITAZOXANIDA 100 MG,COLUFASE 100 MG SUSPENSION FCO X 60 ML,7861148020281
MEGALABS,7861148020427,LAXANTE HIPEOSMOTICO,LACTULOSA 3.33 GR,LAXALAN JARABE FRASCO X 220 ML,7861148020427
MEGALABS,7862111350077,ANTIARRITMICO,AMIODARONA CLORHIDRATO 200 MG,ATLANSIL 200 MG CAJA X 30 COMPRIMIDOS,7862111350077
MEGALABS,7862111350138,ANTIACIDO ANTIFLATULENTO,MAGALDRATO 800 MG SIMETICONA 40 MG,ACI TIP CAJA X 20 TABLETAS MASTICABLES,7862111350138
MEGALABS,7862111350190,ANTIASMATICO ANTIALERGICO,KETOTIFENO 1 MG,KETONAL 1 MG CAJA X 20 COMPRIMIDOS,7862111350190
MEGALABS,7862111350206,ANTIASMATICO ANTIALERGICO,KETOTIFENO 1 ML X 5 ML,KETONAL 1 MG JARABE FCO X 100 ML,7862111350206
MEGALABS,7862111350282,ANTISEPTICO ASTRINGENTE,POLICRESULENO 90 MG,CERVIXEPT 90 MG CAJA X 6 OVULOS,7862111350282
MEGALABS,7862111350343,ANTISEPTICO ASTRINGENTE,POLICRESULENO,CERVIXEPT 1.8% GEL TUBO X 50 G,7862111350343
HANSA,7862117785910,SUPLEMENTO NUTRICIONAL,CLORURO DE MAGNESIO FRASCO 500 ML,CLORURO DE MAGNESIO FRASCO 500 ML,7862117785910
JOHNSON,7891010255398,LISTERINE CUIDADO TOTAL ZERO ALCOHOL X 250 ML,LISTERINE CUIDADO TOTAL ZERO ALCOHOL X 250 ML,LISTERINE CUIDADO TOTAL ZERO ALCOHOL X 250 ML,7891010255398
JOHNSON,7891010560812,LIMPIEZA DE OIDO,ALGODON,JOHNSON COTONETE CAJA X 150 UNIDADES,7891010560812
COLGATE,7891024134610,ANTICARIES,FLUOR,COLGATE PASTA DENTAL ANTICARIES TBO X 180 GR,7891024134610
SEDIM,7891024316207,HIGIENE,PASTA DENTAL,CEPILLO DENTAL COLGATE 360 LIMPIEZA COMPLETA,7891024316207
INTI,7891040001187,LIMPIA,ESPONJA,ESPONJA PARA DUCHA ROSADO NEXCARE 3 M X 1 UNIDAD,7891040001187
INTI,7891040109876,LIMPIA,ESPONJA,ESPONJA PARA DUCHA AUTO NEXCARE 3 M X 1 UNIDAD,7891040109876
INTI,7891040118649,ESPONJA,ESPONJA,ESPONJA PARA DUCHA PRINCESA NEXCARE 3 M X 1 UNIDAD,7891040118649
INTI,7891040141418,ESPONJA,ESPONJA,ESPONJA PARA DUCHA CURAUA NEXCARE 3 M X 1 UNIDAD,7891040141418
UNILEVER,7891150017337,ACONDICIONADOR DOVE ÓLEO NUTRICIÓN BRINDA PROFUNDA NUTRICIÓN DEL CABELLO,NUTRI-ÓLEOS LIVIANOS,ACONDICIONADOR DOVE OLEO NUTRICION X 400 ML,7891150017337
EUROFARMA,7891317011970,SUPLEMENTO ALIMENTICIO DE VITAMINA D3,COLECALCIFEROL (VITAMINA D3),ALTAD VITAMINA D3 1000 UI CAJA X 30 CAPSULAS,7891317011970
EUROFARMA,7891317011994,SUPLEMENTO ALIMENTICIO DE VITAMINA,COLECALCIFEROL,ALTAD VITAMINA D3 15.000 UI CAJA X 4 CAPSULAS,7891317011994
EUROFARMA,7891317012007,SUPLEMENTO ALIMENTICIO DE VITAMINA,COLECALCIFEROL,ALTAD VITAMINA D3 50.000 UI CAJA X 4 CAPSULAS,7891317012007
EUROFARMA,7891317040451,AINE,KETOPROFENO 150 MG,BICERTO KETOPROFENO 150 MG CAJA X 10 COMPRIMIDOS,7891317040451
BAGO BAYER,7896116861610,ANTOCONCEPTIVO ORAL COMBINADO,DROSPERIDONA 3 MG ETINIL ESTRADIOL 0.03,YASMIN CAJA X 21 COMPRIMIDOS,7896116861610
MEGALABS BAYER,7896116881038,ANTICONCEPTIVO ORAL COMBINADO,CIPROTERONA ACETATO 2 MG ELTINILESTRADIOL 0.035 MG,DIANE 35 CAJA X 21 GRAGEAS,7896116881038
FLOC,7896541905002,MORDILO,MORDILLO,MORDILLO FLOC VARIOS DISEÑOS X 1 UNIDAD,7896541905002
IMFAR,7896902205390,PROTEGE LA PIEL,PROTECTOR SOLAR FPS 50 KIDS SUNLESS,SUNLESS PROTECTOR SOLAR FPS 50 KIDS X 120 GR,7896902205390
IMFAR,7896902209046,PROTECCION DE LA PIEL,SUNLESS PROTECTOR SOLAR FPS 60,SUNLESS PROTECTOR SOLAR FPS 60 TOQUE SECO X 120 GR,7896902209046
IMFAR,7896902217010,ACEITE CAPILAR Y CORPORAL ROSA MOSQUETA FARMAX,ACEITE CAPILAR Y CORPORAL ROSA MOSQUETA FARMAX,"ACEITE CAPILAR Y CORPORAL ROSA,COCO,LAVANDA FARMAX FCO X 100 ML",7896902217010
INTI GALDERMA,7897930775800,PURIFICADOR ACIAL,ALANTOINA,CETAPHIL PRO AD RESTARODERM CONTROL LIMPIADOR X 295 ML,7897930775800
INSUMOS,7898909175508,CANALIZADOR,BRANULA,BRANULA NIPRO # 22 CELESTE,7898909175508
DELTA,7912372,ENDULCORANTE,SUCRALOSA,SPLUS SUCRALOSA X 150 TABLTAS,7912372
DELTA,7923912,ANTIVIRAL ESPECIFICO,ACICLOVIR,ACICLOVIR 800 MG CAJA X 50 COMPRIMIDOS,7923912
FOBOL,79954320,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70% X 150 ML,79954320
PROMEDICAL SUIPHAR,8030082000010,ANTIOXIDANTE,"SOYA; TOCOFEROL (VITAMINA E); ZINC, ÓXIDO",AGEX SOY 500 MG CAJA X 60 CAPSULAS,8030082000010
PROMEDICAL SUIPHAR,8030082000027,ANTIOXIDANTE,"LECITINA, SOYA; TOCOFEROL (VITAMINA E)",AGEX SOY CREMA TUBO X 30 ML,8030082000027
LHUMAT,811726012877,SUPLEMENTO,"CALORIAS, GRASA, PROTEINAS, CARBOHIDRATOS, CALOSTRO BOVINO",CALOSTRO MASTICABLE 500 MG FCO X 60 TABLETAS MASTICABLES,811726012877
TERBOL TERBONOVA,817432010053,ANTIOXIDANTE,RETINOL VITAMINA A,BETA CAROTENE 10000 IU FCO X 100 CAPSULAS,817432010053
TERBOL TERBONOVA,817432010060,ANTIOXIDANTE,RETINOL VITAMINA A,BETA CAROTENE 25.000 IU FCO X 60 CAPSULAS,817432010060
TERBOL TERBONOVA,817432010091,DESARROLLO DE HUESOS Y DIENTES FUERTES,CALCIO,CALCIUM PLUS FORTE FCO X 90 CAPSULAS BLANDAS,817432010091
TERBOL TERBONOVA,817432010923,MULTIVITAMINAS,GOMITAS,GUMYS PRO INMUNE FCO X 60 GOMITAS,817432010923
LAFAR,819,ANTIMICOTICO,CLOTRIMAZOL,CLOTRIMAZOL CAJA X 100 OVULOS,819
IFARBO,8263,"ANALGÉSICO, ANTIPIRÉTICO Y ANTIINFLAMATORIO","IBUPROFENO, PARACETAMOL (ACETAMINOFÉN)",ACETAMOL PLUS SUSPENSION FCO X 100 ML,8263
MINOIL,8410010261667,TIENE PROPIEDADES ANTIOXIDANTES Y ANTIINFLAMATORIAS,ACEITE DE OLIVA,ACEITE OLIVA CARBONELL LATA X 200 ML,8410010261667
MINOIL,8410010277224,FUENTE DE ÁCIDOS GRASOS INSATURADOS,ACEITE DE OLIVA,ACEITE DE OLIVA EXTRA VIRGEN CARBONELL X 100 ML,8410010277224
MINOIL,8410010826699,FUENTE DE ÁCIDOS GRASOS INSATURADOS,ACEITE DE OLIVA,ACEITE DE OLIVA EXTRA VIRGEN CARBONELL X 250 ML,8410010826699
SANAT BABARIA,8410412000321,HIDRATANTE,ALOE VERA,BABARIA BALSAMO PARA DESPUES DEL SOL X 200 ML,8410412000321
SANAT BABARIA,8410412024860,HIDRATANTE,ALOE VERA,BABARIA AFTER SHAVE GEL ALOE MEN PARA DESPUES DEL AFEITADO X 150 ML,8410412024860
SANAT BABARIA,8410412026222,HIDRATANTE,ALOE VERA,BABARIA CREMA DE MANOS ALOE VERA X 100 ML,8410412026222
SANAT BABARIA,8410412027113,HIDRATANTE,ALOE VERA,BABARIA CREMA DE PIES ALOE X 150 ML,8410412027113
SANAT BABARIA,8410412047340,HIDRATANTE,ACEITE DE OLIVA,BABARIA CREMA DE MANOS OLIVA X 75 ML,8410412047340
SANAT BABARIA,8410412047357,HIDRATANTE,ACEITE DE OLIVA,BABARIA BODY MILK CON ACEITE DE OLIVA X 400 ML,8410412047357
SANAT BABARIA,8410412100151,HIDRATACIÓN,EXTRACTOS NATURALES,BABARIA ANTI MANCHAS FLUIDO HIDRATANTE SPF 20 X 50 ML,8410412100151
SANAT BABARIA,8410412100236,REDUCCIÓN DE MANCHAS OSCURAS,EXTRACTOS NATURALES,BABARIA ANTI MANCHAS CONTORNO DE OJOS X 12 ML.,8410412100236
SANAT BABARIA,8410412100243,ANTIENVEJECIMIENTO,ÁCIDO HIALURÓNICO,BABARIA CREMA FACIAL ACIDO HIALURONICO X 50 ML.,8410412100243
SANAT BABARIA,8410412100595,EXFOLIANTE,ÁCIDO GLICÓLICO,BABARIA ACIDO GLICOLICO CREMA FACIAL FCO X 50 ML,8410412100595
SANAT BABARIA,8410412100755,RELAJA EL ROSTRO,BABARIA CREMA FACIAL EFECTO BOTOX DIFUMINADOR DE ARRUGAS 50 ML,BABARIA CREMA FACIAL BTOX,8410412100755
SANAT BABARIA,8410412130097,PROTECCION ANTIPOLUCION,LECHE CORPORAL BODY MILK VITAMINA C 500 ML,BABARIA LECHE CORPORAL VITAMINA C,8410412130097
SANAT BABARIA,8410412130103,HIDRATA LA PIEL,LECHE CORPORAL VITAMINA E 500 ML,BABARIA LECHE CORPORAL VITAMINA E,8410412130103
SANAT BABARIA,8410412130165,HIDRATANTE,ALOE VERA Y VITAMINA E,BABARIA BODY MILK ALOE CON VITAMINA E X 400 ML.,8410412130165
SANAT BABARIA,8410412220279,PROTECTOR DE COLOR,TSUBAKI Y FRUTA DE LA PASION,BABARIA CHAMPU PROTECTOR COLOR CAPTURE X 500 ML,8410412220279
SANAT BABARIA,8410412220293,HITRATA Y NUTRE,BABARIA CHAMPU ESENCIAL HIDRATANTE Y NUTRITIVA,BABARIA CHAMPU ESENCIAL HIDRATANTE Y NUTRITIVA X 500 ML,8410412220293
SANAT BABARIA,8410412220323,PURIFICANTE,"MENTA DULCE,LIMA Y ZINC",BABARIA CHAMPU PURIFICANTE SOS CASPA X 500 ML,8410412220323
SANAT BABARIA,8410412220347,ANTI CAIDA,"GINSENG, MINERALES Y CURCUMA",BABARIA CHAMPU ENERGIZANTE SOS CAIDA X 500 ML,8410412220347
SANAT BABARIA,8410412220460,NUTRITIVA Y REPARADORA,"NARANJA , CHIA Y ACEITE DE MANZANA",BABARIA CHAMPU RESET NUTRITIVA Y REPARADORA X 500 ML,8410412220460
SANAT BABARIA,8410412430128,DESMAQUILLANTE,ROSA MOSQUETA,BABARIA AGUA MICELAR DESMAQUILLANTE ROSA MOSQUETA X 400 ML.,8410412430128
SANAT BABARIA,8410412430159,DESMAQUILLANTE,ALOE VERA,BABARIA AGUA MICELAR BIFASICA DESMAQUILLANTE X 400 ML,8410412430159
SANAT BABARIA,8410412490207,BABARIA PROTECTOR SOLAR CON COLOR,BABARIA PROTECTOR SOLAR CON COLOR,BABARIA PROTECTOR SOLAR CON COLOR FPS 50 X 50 ML,8410412490207
BABYLAND,8410660001026,FUENTE DE ÁCIDOS GRASOS INSATURADOS,ACEITE DE OLIVA,ACEITE DE OLIVA EXTRA VIRGEN X 750 ML,8410660001026
BABYLAND,8410660101481,FUENTE DE ÁCIDOS GRASOS INSATURADOS,ACEITE DE OLIVA,ACEITE DE OLIVA EXTRA VIRGEN X 250 ML,8410660101481
SAE FORAMEN,8414600130111,HIGIENE,PASTA DENTAL,FORAMEN CREMA DENTAL TOOTHPASTE X 75 GR,8414600130111
SAE FORAMEN,8414600315211,HIGIENE,FORAMEN ESTUCHE DE ASEO BUCAL INFANTIL,FORAMEN ESTUCHE DE ASEO BUCAL INFANTIL,8414600315211
SAE FORAMEN,8414600352438,LIMPIEZA BUCAL,CEPILLO,CEPILLO FORAMEN FORAMINO + REGALO,8414600352438
SAE FORAMEN,8414600442139,HIGIENE,HILO DENTAL,CINTA DENTAL EXTRA PLANA TEFLON FORAMEN 25 MTS,8414600442139
BAGO,8426594094805,SIPLEMENTO,SUPLEMENTO,COLNATUR SPORT NEUTRO POLVO X 330 G,8426594094805
BAGO,8426594094812,SUPLEMENTO,COLNATUR SPORT LIMON POLVO X 345 G,COLNATUR SPORT LIMON POLVO X 345 G,8426594094812
LA JUSTICIA,8436000681802,APORTE DE VITAMINAS,ALGAS,ALGAS SABOR LIMON FCO X 104 COMPRIMIDOS,8436000681802
LA JUSTICIA,8436000681918,SUPLEMENTO ALIMENTICIO,TRIPTOFANO MAGNESIO VITAMINA B6,TRIPTOFANO CON MAGNESIO + VIT B6 FCO X 60 COMPRIMIDOS,8436000681918
LA JUSTICIA,8436000681970,SUPLEMENTO,COLAGENO MAGNESIO,COLAGENO CON MAGNESIO FCO X 75 COMPRIMIDOS,8436000681970
LA JUSTICIA,8436000682069,SUPLEMENTO,MAGNESIO,MAGNESIO TOTAL 5 FCO X 100 COMPRIMIDOS,8436000682069
LA JUSTICIA,8436000682441,SUPLEMENTO NUTRICIONAL,ACEITE DE HÍGADO DE BACALAO,ACEITE DE HIGADO DE BACALAO FRASCO X 90 PERLAS,8436000682441
LA JUSTICIA,8436000682915,SUPLEMENTO NUTRICIONAL,CLORURO DE MAGNESIO,ACEITE DE MAGNESIO FCO X 150 ML,8436000682915
LA JUSTICIA,8436000685596,APOYA LA SALUD DE LA PIEL,ACEITE DE ONAGRA,ACEITE DE ONAGRA + VIT E CAPSULAS X 80 UNIDADES,8436000685596
LA JUSTICIA,8436000686234,SUPLEMENTO,MAGNESIO,MAGNESIO TOTAL 5 CON HARPAGO FCO X 70 COMPRIMIDOS,8436000686234
LA JUSTICIA,8436000686586,SUPLEMENTO,TRIPTOFANO GABA PASIFLORA MAGNESIO,TRIPTOFANO CON GABA PASIFLORA MAGNESIO FRASCO X 60 COMPRIMIDOS,8436000686586
AIDISA,8436003910183,FUENTE DE ÁCIDOS GRASOS INSATURADOS,ACEITE DE OLIVA,ACEITE DE OLIVA ALVA FCO X 250 ML,8436003910183
INTI KIN,8436026210826,ENJUAGUE BUCAL,CLORHEXIDINA 12 %,KIN GINGIVAL ENJUAGUE BUCAL FCO X 250 ML,8436026210826
INTI KIN,8436026212103,CUIDADO BUCAL,ALOE VERA ACIDO HIALIRONICO,KIN CARE GEL DENTAL TBO X 15 GR,8436026212103
INTI KIN,8436026215425,LIMPIEZA BUCAL,CEPILLO DENTAL,CEPILLO KIN ORTODONCIA,8436026215425
INTI KIN,8436026215609,LIMPIEZA BUCAL,CLORHEXIDINA FLUOR,KIN GINGIVAL PASTA DENTRIFICO TUBO X 75 ML,8436026215609
INTI KIN,8436026215876,LIMPIEZA DENTAL,CALCIO FLOUR,FLUOR KIN CALCIUM INFANTIL TUBO X 75 ML,8436026215876
INTI KIN,8436026216187,PASTA DENTRIFICA,FLUOR,KIN FLUOR PASTA DENTRIFICA TBO X 125 ML,8436026216187
MEGALABS,8436043013783,MULTIVITAMINICO,VITAMINA D3 DHA ACIDO FOLICO,IMMUVIT MATERNAL CAJA X 30 CAPSULAS,8436043013783
BAGO,8436547471539,NUTRIENTE,NUTRIENTES,FONTACTIV COMPLETE POLVO X 800 G,8436547471539
BAGO,8436547472512,NUTRICION,FONTACTIV JUNIIOR CHOCOLATE X 400G,FONTACTIV JUNIIOR CHOCOLATE X 400G,8436547472512
BAGO,8437002567965,PROTECTOR SOLAR,MINRALES FOTOPROTECTOR,HELIOCARE 360 MINERAL SPF 50 X 50 ML,8437002567965
INTI,8437016585498,SUPLEMENTO,LACTOBACILLUS DE ARANDANO,CRANBIOTICS CAJA X 20 CAPSULAS,8437016585498
MEGALABS,8437018976188,TRATAMIENTO VPH,CORIOLUS VERSICOLOR,PAPILOCARE GEL VAGINAL 5 ML CAJA X 7 CANULAS MONODOSIS,8437018976188
FARMEDICAL,844352023,TRATAMIENTO DE CICATRICES QUELOIDES,HEPARINA SODICA,SCARTUBEX GEL 20 GR,844352023
BAGO,8470001638151,PROTECTOR SOLAR,MINERALES FOTOPROTECTORES,HELIOCARE COLOR GEL CREAM LIGHT SPF 50 X 50 ML,8470001638151
BAGO,8470001930156,FOTOPROTECTOR,MINERALES FOTOPROTECTORES,HELIOCARE 360 WATER GEL FPS 50 X 50 ML,8470001930156
BABE IMEXFAR,8470008704286,CARDIOVASCULAR Y SANGRE,WARFARINA SODICA,ALDOCUMAR 50 MG CAJA X 40 COMPRIMIDOS,8470008704286
AISAFARM,8470008725984,LAXANTE,"CASSIA ACUTIFOLIA, PLANTAGO OVOTA",AGIOLAX CAJA X 12 SOBRES,8470008725984
RECALCINE,8710428999306,SUPLEMENTO,PROTEINAS VITAMINAS MINERALES,ENSURE ADVANCE VAINILLA POLVO X 850 G,8710428999306
FARMEDICAL,87254289,"ANALGÉSICO, ANTIINFLAMATORIO Y ANTIRREUMÁTICO",DICLOFENACO SÓDICO,ALIVIOL DICLOFENACO 75 MG CAJA X 10 AMPOLLAS,87254289
